                                                                    VIRUS STRAIN	               CLADE
                                                    A/Chicken/Hong_Kong/728/1997	                   0
                                                       A/Duck/Hong_Kong/p46/1997	                   0
                                                        A/goose/Guangdong/3/1997	                   0
                                                         A/chicken/Hubei/wh/1997	                   0
                                                        A/Duck/Anyang/AVL-1/2001	                   0
                                             A/environment/Hong_Kong/674.15/2002	                   0
                                                  A/Chicken/Hong_Kong/317.5/2001	                   0
                                                    A/Chicken/Hong_Kong/786/1997	                   0
                                                    A/environment/Qinghai/1/2008	                   0
                                                       A/goose/Guangdong/xb/2001	                   0
                                                         A/chicken/Jilin/ha/2003	                   0
                                                           A/duck/Fujian/19/2000	                   0
                                                              A/Hong_Kong/156/97	                   0
                                                        A/duck/Guangdong/12/2000	                   0
                                                            A/Hong_Kong/483/1997	                   0
                                                         A/chicken/Jilin/hk/2004	                   0
                                                     A/chicken/Shandong/K01/2004	                   0
                                                         A/duck/Zhejiang/11/2000	                   0
                                                   A/goose/Hong_Kong/1032.6/2000	                   0
                                                     A/Goose/Hong_Kong/ww28/2000	                   0
                                                          A/duck/Guangxi/07/1999	                   0
                                                    A/goose/Hong_Kong/437-6/1999	                   0
                                                    A/goose/Hong_Kong/437-8/1999	                   0
                                                         A/chicken/Hubei/wj/1997	                   0
                                                            A/Hong_Kong/485/1997	                   0
                                                       A/goose/Shantou/5456/2001	                   0
                                                    A/Goose/Hong_Kong/385.3/2000	                   0
                                                         A/duck/Shanghai/37/2002	                   0
                                                          A/chicken/Hebei/108/02	                   0
                                                         A/duck/Shanghai/35/2002	                   0
                                                          A/Goose/Huadong/1/2000	                   0
                                                           A/chicken/luohuo/3/03	                   0
                                                     A/Duck/Hong_Kong/ww461/2000	                   0
                                                           A/swine/Shandong/2/03	                   0
                                                              A/Hong_Kong/481/97	                   0
                                                   A/Chicken/Hong_Kong/y385/1997	                   0
                                                  A/chicken/Hong_Kong/786-2/1997	                   0
                                             A/environment/Hong_Kong/437-10/1999	                   0
                                                        A/goose/Guangdong/1/1996	                   0
                                                  A/plateau_pika/Qinghai/04/2007	                   0
                                                    A/spotbill_duck/Xuyi/18/2005	                   0
                                                     A/Goose/Hong_Kong/ww26/2000	                   0
                                                     A/Duck/Hong_Kong/ww381/2000	                   0
                                              A/Silky_Chicken/Hong_Kong/p17/1997	                   0
                                                        A/duck/Guangdong/07/2000	                   0
                                                     A/Duck/Hong_Kong/ww487/2000	                   0
                                                A/environment/Hong_Kong/156/1997	                   0
                                                   A/Chicken/Hong_Kong/y388/1997	                   0
                                                    A/Chicken/Hong_Kong/258/1997	                   0
                                                              A/Hong_Kong/482/97	                   0
                                                            A/chicken/China/1/02	                   0
                                                           A/goose/China/F3/2004	                   0
                                                          A/duck/Guangxi/27/2003	                   0
                                                         A/chicken/Jilin/xv/2002	                   0
                                                           A/duck/Fujian/13/2002	                   0
                                                          A/duck/Guangxi/53/2002	                   0
                                                           A/duck/Fujian/01/2002	                   0
                                                          A/chicken/zhoukou/2/02	                   0
                                                         A/chicken/Jilin/xw/2003	                   0
                                              A/environment/Hong_Kong/437-6/1999	                   0
                                                    A/goose/Hong_Kong/485.3/2000	                   0
                                                   A/goose/Hong_Kong/1032.9/2000	                   0
                                                         A/duck/Shanghai/08/2001	                   0
                                                     A/Duck/Hong_Kong/ww382/2000	                   0
                                                         A/duck/Shanghai/38/2001	                   0
                                                    A/chicken/Hong_Kong/915/1997	                   0
                                                    A/Chicken/Hong_Kong/220/1997	                   0
                                                A/environment/Hong_Kong/486/1997	                   0
                                              A/environment/Hong_Kong/437-8/1999	                   0
                                                         A/chicken/Hubei/wl/1997	                   0
                                                          A/duck/Shanghai/1/2000	                   0
                                                    A/Goose/Hong_Kong/385.5/2000	                   0
                                                        A/duck/Shandong/093/2004	                   0
                                                          A/duck/Guangxi/12/2003	                   0
                                              A/environment/Hong_Kong/437-4/1999	                   0
                                                      A/chicken/Hong_Kong/915/97	                   0
                                                     A/Goose/Hong_Kong/w355/1997	                   0
                                                            A/goose/Vietnam/3/05	                   0
                                                       A/ostrich/Suzhou/097/2003	                   0
                                                          A/mallard/Xuyi/10/2005	                   0
                                                    A/Goose/Hong_Kong/ww491/2000	                   0
                                                        A/duck/Guangdong/40/2000	                   0
                                                             A/duck/Vietnam/8/05	                   0
