Clade 		 HA 		 Nucleotide
4		%100.0		%100.0
7		%100.0		%100.0
7.1		%100.0		%100.0
7.2		%100.0		%100.0
5		%100.0		%100.0
1		%100.0		%100.0
1.1		%100.0		%100.0
1.1.1		%100.0		%100.0
1.1.2		%100.0		%100.0
2.3.3		%100.0		%100.0
2.3.4		%100.0		%100.0
2.3.4.4		%100.0		%100.0
2.3.4.1		%100.0		%100.0
2.3.4.3		%100.0		%100.0
2.3.4.2		%100.0		%100.0
2.3.2		%100.0		%100.0
2.3.2.1		%100.0		%100.0
2.3.2.1b		%100.0		%100.0
2.3.2.1c		%100.0		%100.0
2.3.2.1a		%100.0		%100.0
2.4		%100.0		%100.0
2.1.1		%100.0		%100.0
2.1.2		%100.0		%100.0
2.1.3		%100.0		%100.0
2.1.3.1		%100.0		%100.0
2.1.3.2		%100.0		%100.0
2.1.3.2a		%100.0		%100.0
2.1.3.3		%100.0		%100.0
2.5		%100.0		%100.0
2.2		%100.0		%100.0
2.2.2		%100.0		%100.0
2.2.2.1		%100.0		%100.0
2.2.1.1		%100.0		%100.0
2.2.1.1a		%100.0		%100.0
3		%None		%100.0
9		%None		%100.0
8		%None		%100.0
2.3.1		%None		%100.0
2.2.1		%None		%100.0
