Clade 		 HA 		 Nucleotide
0		%66.67		%81.82
4		%100.0		%69.23
5		%33.33		%13.33
6		%0		%0
7		%0.0		%11.11
7.1		%87.5		%92.31
7.2		%0.0		%0.0
9		%0.0		%0.0
1		%28.57		%35.29
1.1		%0		%0
1.1.1		%0		%0
1.1.2		%0		%0
2.3.3		%0.0		%0.0
2.3.4		%100.0		%76.92
2.3.4.1		%0.0		%0.0
2.3.4.2		%50.0		%66.67
2.3.4.3		%50.0		%45.45
2.3.4.4		%0		%0
2.3.2		%100.0		%100.0
2.3.2.1		%0		%0
2.3.2.1b		%0		%0
2.3.2.1a		%0		%0
2.3.2.1c		%0		%0
2.1.1		%25.0		%27.27
2.1.2		%0.0		%8.57
2.1.3		%60.0		%85.0
2.1.3.1		%50.0		%50.0
2.1.3.3		%100.0		%61.54
2.1.3.2		%0		%0
2.1.3.2b		%0		%0
2.1.3.2a		%0		%0
2.2		%33.33		%40.0
2.2.2		%0		%0
2.2.2.1		%0		%0
2.2.1.1		%0		%0
2.2.1.1a		%0		%0
2.2.1.2		%0		%0
3		%None		%28.57
2.3.1		%None		%100.0
2.4		%None		%13.33
2.5		%None		%10.0
2.2.1		%None		%100.0
