Clade 		 HA 		 Nucleotide
7		%100.0		%100.0
7.1		%100.0		%100.0
7.2		%0.0		%0.0
4		%100.0		%100.0
0		%0.0		%0.0
5		%100.0		%96.67
9		%100.0		%85.71
8		%100.0		%100.0
1		%100.0		%87.5
1.1		%0		%0
1.1.1		%0		%0
1.1.2		%0		%0
2.3.3		%100.0		%95.24
2.3.4		%57.14		%46.15
2.3.4.4		%0		%0
2.3.4.1		%0.0		%0.0
2.3.4.3		%33.33		%53.33
2.3.4.2		%80.0		%90.91
2.3.2		%100.0		%100.0
2.3.2.1		%0		%0
2.3.2.1b		%0		%0
2.3.2.1c		%0		%0
2.3.2.1a		%0		%0
2.4		%50.0		%61.11
2.1.1		%0.0		%0.0
2.1.2		%33.33		%41.18
2.1.3		%75.0		%94.44
2.1.3.1		%75.0		%90.0
2.1.3.2		%0		%0
2.1.3.2a		%0		%0
2.1.3.3		%50.0		%50.0
2.5		%100.0		%100.0
2.2		%100.0		%100.0
2.2.2		%0		%0
2.2.2.1		%0		%0
2.2.1.2		%0		%0
2.2.1.1		%0		%0
2.2.1.1a		%0		%0
3		%None		%100.0
2.3.1		%None		%100.0
2.2.1		%None		%100.0
