Clade 		 HA 		 Nucleotide
1		%85.71		%82.35
8		%0		%50.0
9		%0		%71.43
5		%100.0		%100.0
0		%0		%0
4		%100.0		%83.33
7		%100.0		%100.0
7.1		%100.0		%100.0
7.2		%0.0		%0.0
2.3.2		%100.0		%100.0
2.3.3		%100.0		%95.24
2.3.4		%71.43		%61.54
2.3.4.1		%0.0		%0.0
2.3.4.2		%80.0		%90.91
2.3.4.3		%33.33		%53.33
2.4		%50.0		%61.11
2.5		%100.0		%90.91
2.2		%100.0		%100.0
2.1.1		%0.0		%0.0
2.1.2		%33.33		%41.18
2.1.3		%75.0		%94.44
2.1.3.1		%75.0		%90.0
2.1.3.3		%50.0		%58.33
3		%None		%100.0
2.3.1		%None		%100.0
2.2.1		%None		%100.0
