strain	date	h5_label_clade
A/wild_duck/Shandong/628/2011	2011-XX-XX	2.3.4.4
A/breeder_duck/Korea/H158/2014	2014-XX-XX	2.3.4.4
A/duck/Egypt/13149S/2013	2013-XX-XX	2.2.1.2
A/turkey/Egypt/137/2013	2013-XX-XX	2.2.1.2
A/Cambodia/W0329318/2012	2012-XX-XX	1.1.2
A/egret/Egypt/1162-NAMRU3/2006	2006-XX-XX	2.2.1
A/Cambodia/R0405050/2007	2007-XX-XX	1.1
A/Bangladesh/207095/2008	2008-XX-XX	2.2.2.1
A/Vietnam/HN36250/2010	2010-XX-XX	2.3.4.2
A/Vietnam/HN36282/2010	2010-XX-XX	2.3.4.1
A/Vietnam/HN31673/2009	2009-XX-XX	1.1.1
A/Hong_Kong/6841/2010	2010-XX-XX	2.3.2.1c
A/barn_swallow/Hong_Kong/1161/2010	2010-XX-XX	2.3.2.1b
A/crow/Bangladesh/1061/2011	2011-XX-XX	2.3.2.1a
A/chicken/Vietnam/NCVD-775/2011	2011-XX-XX	1.1.2
A/chicken/Vietnam/NCVD-876/2011	2011-XX-XX	1.1.1
A/Indonesia/NIHRD12377/2012	2012-XX-XX	2.1.3.2a
A/waterfowl/Bangladesh/31935/2011	2011-XX-XX	2.3.2.1a
A/chicken/Egypt/1063/2010	2010-XX-XX	2.2.1.1a
A/chicken/Egypt/1031/2010	2010-XX-XX	2.2.1.1
A/environment/Bangladesh/1019-G/2012	2012-XX-XX	2.3.2.1a
A/chicken/Bangladesh/42010/2012	2012-XX-XX	2.3.2.1a
A/duck/Bangladesh/32077/2012	2012-XX-XX	2.3.2.1a
A/duck/Vietnam/NCVD129-7/2011	2011-XX-XX	2.3.2.1b
A/duck/Vietnam/NCVD-1160/2011	2011-XX-XX	2.3.2.1b
A/duck/Vietnam/NCVD-1171/2012	2012-XX-XX	2.3.2.1a
A/duck/Vietnam/NCVD-1206/2012	2012-XX-XX	2.3.2.1a
A/duck/Vietnam/NCVD-1210/2012	2012-XX-XX	2.3.2.1a
A/Hong_Kong/5923/2012	2012-XX-XX	2.3.2.1b
A/duck/Vietnam/NCVD-1584/2012	2012-XX-XX	2.3.2.1c
A/duck/Vietnam/NCVD-1544/2012	2012-XX-XX	2.3.2.1c
A/crow/Kyoto/53/2004	2004-XX-XX	2.5
A/crow/Osaka/102/2004	2004-XX-XX	2.5
A/whooper_swan/Hokkaido/2/2008	2008-XX-XX	2.3.2.1
A/peregrine_falcon/Hong_Kong/810/2009	2009-XX-XX	2.3.4
A/feral_pigeon/Hong_Kong/3409/2009	2009-XX-XX	2.3.2.1b
A/whooper_swan/Hokkaido/4/2011	2011-XX-XX	2.3.2.1c
A/tree_sparrow/Indonesia/D10013/2010	2010-XX-XX	2.1.3.2a
A/chicken/Indonesia/D10014/2010	2010-XX-XX	2.1.3.2b
A/chicken/Indonesia/D10015/2010	2010-XX-XX	2.1.3.2
A/chicken/Miyazaki/11/2011	2011-XX-XX	2.3.2.1c
A/chicken/EastKalimantan/UT581/2010	2010-XX-XX	2.1.3.1
A/duck/Vietnam/OIE-0062/2012	2012-XX-XX	1.1.1
A/muscovy_duck/Vietnam/OIE-0043/2012	2012-XX-XX	1.1.2
A/Hong_Kong/156/97	1997-XX-XX	0
A/Hong_Kong/483/1997	1997-XX-XX	0
A/Goose/Guangdong/1/96	1996-XX-XX	0
A/Chicken/Hong_Kong/FY77/01	2001-XX-XX	3
A/Pheasant/HongKong/FY155/01	2001-XX-XX	3
A/Ck/HK/61.9/02	2002-XX-XX	8
A/Ck/HK/YU777/02	2002-XX-XX	8
A/Vietnam/1194/2004	2004-XX-XX	1
A/Ck/HK/YU22/2002	2002-XX-XX	8
A/blackbird/Hunan/1/2004	2004-XX-XX	6
A/tree_sparrow/Henan/1/2004	2004-XX-XX	6
A/chicken/Indonesia/CDC25/2005	2005-XX-XX	2.1.3.3
A/Indonesia/CDC595/2006	2006-XX-XX	2.1.2
A/Indonesia/CDC1032N/2007	2007-XX-XX	2.1.3.2
A/duck/Hunan/795/2002	2002-XX-XX	2.1.1
A/duck/Vietnam/1233/2005	2005-XX-XX	1.1
A/duck/Vietnam/NCVD-16/2007	2007-XX-XX	1.1
A/chicken/Vietnam/NCVD-20/2007	2007-XX-XX	2.3.4.3
A/peregrine_falcon/Hong_Kong/2142/2008	2008-XX-XX	2.3.4
A/duck/Laos/22/2006	2006-XX-XX	2.3.4
A/chicken/Bangladesh/490/2007	2007-XX-XX	2.2.2
A/chicken/Bangladesh/394/2007	2007-XX-XX	2.2.2
A/chicken/Thailand/CU-354/2008	2008-XX-XX	1
A/Egypt/N09539/2009	2009-XX-XX	2.2.1
A/Egypt/N01982/2010	2010-XX-XX	2.2.1
A/Egypt/N03072/2010	2010-XX-XX	2.2.1
A/chicken/Egypt/38-2/2008	2008-XX-XX	2.2.1.1
A/great_crested-grebe/Qinghai/1/2009	2009-XX-XX	2.3.2.1c
A/chicken/Bhutan/248009/2010	2010-XX-XX	2.2.2.1
A/Bangladesh/3233/2011	2011-XX-XX	2.2.2.1
A/chicken/India/241272/2010	2010-XX-XX	2.2.2
A/chicken/Denpasar/BBVD-182/2007	2007-XX-XX	2.1.1
A/chicken/Ampenan/BBVD-282/2007	2007-XX-XX	2.1.1
A/chicken/Badung/BBVD-277/2007	2007-XX-XX	2.1.3
A/chicken/Badung/BBVD-302/2007	2007-XX-XX	2.1.1
A/chicken/Sleman/BBVW-493-214/2007	2007-XX-XX	2.1.3.2
A/chicken/Lao/LH2/2010	2010-XX-XX	2.3.4.1
A/Hunan/1/2009	2009-XX-XX	2.3.4.1
A/Hunan/2/2009	2009-XX-XX	2.3.4.1
A/Hubei/1/2010	2010-XX-XX	2.3.2.1a
A/environment/Guizhou/2/2009	2009-XX-XX	2.3.4.2
A/environment/Guizhou/4/2009	2009-XX-XX	2.3.4.2
A/chicken/Menofia/CAI35/2010	2010-XX-XX	2.2.1.1a
A/Chicken/Yunnan/447/05	2005-XX-XX	2.4
A/Chicken/Shantou/810/05	2005-XX-XX	2.3.2
A/duck/Fujian/897/2005	2005-XX-XX	9
A/chicken/Fujian/1042/2005	2005-XX-XX	9
A/duck/Guangxi/668/2004	2004-XX-XX	5
A/goose/Guangxi/914/2004	2004-XX-XX	5
A/goose/Guangxi/1097/2004	2004-XX-XX	5
A/goose/Guangxi/345/2005	2005-XX-XX	2.3.2
A/duck/Hunan/127/2005	2005-XX-XX	2.3.1
A/duck/Vietnam/568/2005	2005-XX-XX	2.3.2
A/chicken/Hebei/326/2005	2005-XX-XX	7
A/Thailand/676/2005	2005-XX-XX	1
A/duck/Guangxi/13/2004	2004-XX-XX	2.4
A/Anhui/1/2005	2005-XX-XX	2.3.4
A/Guangxi/1/2005	2005-XX-XX	2.3.4
A/turkey/Turkey/1/2005	2005-XX-XX	2.2.1
A/turkey/Kedaton/BPPV3/2004	2004-XX-XX	2.1.2
A/chicken/Dairi/BPPVI/2005	2005-XX-XX	2.1.2
A/bar_headed_goose/Qinghai/1A/2005	2005-XX-XX	2.2
A/chicken/Shanxi/2/2006	2006-XX-XX	7
A/goose/Guangxi/3316/2005	2005-XX-XX	2.3.2
A/duck/Guangxi/89/2006	2006-XX-XX	2.3.2
A/chicken/Guiyang/3055/2005	2005-XX-XX	2.3.3
A/duck/Guiyang/3242/2005	2005-XX-XX	2.3.3
A/goose/Guiyang/337/2006	2006-XX-XX	4
A/goose/Guiyang/1175/2006	2006-XX-XX	4
A/duck/Yunnan/1126/2006	2006-XX-XX	2.3.2
A/duck/Hubei/wg/2002	2002-XX-XX	6
A/swine/Anhui/ca/2004	2004-XX-XX	6
A/goose/Fujian/bb/2003	2003-XX-XX	4
A/chicken/Omsk/14/05	2005-XX-XX	2.2
