                                                                    VIRUS STRAIN	               CLADE
   A/environment/Hong_Kong/674.15/2002|Environment|GU186680|2002-XX-XX|Hong_Kong	                   0
               A/goose/Hong_Kong/1032.6/2000|Avian|GU052050|2000-XX-XX|Hong_Kong	                   0
                A/Chicken/Hong_Kong/728/1997|Avian|AF046099|1997-XX-XX|Hong_Kong	                   0
                         A/chicken/Jilin/xv/2002|Avian|DQ997538|2002-XX-XX|China	                   0
                          A/mallard/Xuyi/10/2005|Avian|GQ184330|2005-01-XX|China	                   0
                         A/duck/Shanghai/08/2001|Avian|AY585370|2001-XX-XX|China	                   0
                A/Goose/Hong_Kong/385.3/2000|Avian|AF398417|2000-XX-XX|Hong_Kong	                   0
                A/Chicken/Hong_Kong/258/1997|Avian|AF057291|1997-XX-XX|Hong_Kong	                   0
      A/environment/Hong_Kong/486/1997|Environment|GU052035|1997-XX-XX|Hong_Kong	                   0
                           A/chicken/luohuo/3/03|Avian|DQ211925|2003-XX-XX|China	                   0
          A/Silky_Chicken/Hong_Kong/p17/1997|Avian|AF098546|1997-XX-XX|Hong_Kong	                   0
                          A/Hong_Kong/482/97|Human|AF046098|1997-XX-XX|Hong_Kong	                   0
                           A/goose/China/F3/2004|Avian|AY639405|2004-XX-XX|China	                   0
                           A/swine/Shandong/2/03|Swine|AY646424|2003-XX-XX|China	                   0
                          A/duck/Guangxi/07/1999|Avian|AY585363|1999-XX-XX|China	                   0
                        A/Hong_Kong/485/1997|Human|GU052142|1997-XX-XX|Hong_Kong	                   0
                       A/goose/Guangdong/xb/2001|Avian|DQ997522|2001-XX-XX|China	                   0
                         A/chicken/Jilin/xw/2003|Avian|DQ997547|2003-XX-XX|China	                   0
                    A/spotbill_duck/Xuyi/18/2005|Avian|GQ184328|2005-02-XX|China	                   0
                         A/chicken/Hubei/wj/1997|Avian|DQ997122|1997-XX-XX|China	                   0
                         A/duck/Shanghai/35/2002|Avian|AY585368|2002-XX-XX|China	                   0
                        A/duck/Shandong/093/2004|Avian|AY854190|2004-XX-XX|China	                   0
   A/environment/Hong_Kong/437-10/1999|Environment|AF216737|1999-XX-XX|Hong_Kong	                   0
                          A/duck/Guangxi/53/2002|Avian|AY585366|2002-XX-XX|China	                   0
                A/Goose/Hong_Kong/385.5/2000|Avian|AF398418|2000-XX-XX|Hong_Kong	                   0
                           A/duck/Fujian/13/2002|Avian|AY585358|2002-XX-XX|China	                   0
                        A/Duck/Anyang/AVL-1/2001|Avian|AF468837|2001-XX-XX|China	                   0
                          A/duck/Vietnam/8/05|Avian|DQ366322|2005-XX-XX|Viet_Nam	                   0
